iter	Passed	Remaining
0	5	5388
1	9	4609
2	17	5930
3	21	5239
4	25	5038
5	32	5423
6	37	5283
7	42	5284
8	51	5688
9	55	5462
10	58	5268
11	64	5344
12	68	5200
13	72	5103
14	76	5015
15	79	4889
16	82	4777
17	85	4646
18	88	4555
19	91	4482
20	95	4429
21	98	4398
22	102	4354
23	105	4285
24	108	4223
25	113	4233
26	116	4190
27	119	4141
28	123	4130
29	127	4111
30	132	4149
31	135	4111
32	139	4099
33	143	4064
34	146	4034
35	150	4017
36	153	3993
37	156	3973
38	160	3965
39	164	3940
40	168	3952
41	176	4025
42	179	3998
43	183	3981
44	186	3951
45	189	3931
46	192	3912
47	196	3903
48	200	3883
49	203	3875
50	207	3863
51	213	3889
52	216	3870
53	220	3858
54	223	3838
55	227	3836
56	231	3825
57	234	3807
58	237	3789
59	240	3774
60	244	3762
61	248	3755
62	251	3738
63	254	3725
64	259	3730
65	262	3714
66	265	3701
67	269	3688
68	273	3683
69	276	3679
70	280	3671
71	283	3657
72	290	3684
73	294	3682
74	297	3669
75	303	3684
76	305	3667
77	310	3670
78	314	3667
79	321	3695
80	324	3683
81	328	3675
82	330	3651
83	339	3706
84	343	3694
85	346	3684
86	391	4107
87	398	4127
88	401	4114
89	447	4521
90	452	4519
91	455	4500
92	459	4477
93	462	4456
94	465	4432
95	468	4415
96	471	4391
97	478	4400
98	481	4378
99	486	4374
100	489	4354
101	495	4358
102	499	4348
103	505	4351
104	510	4347
105	514	4338
106	518	4328
107	526	4347
108	531	4346
109	537	4350
110	541	4334
111	544	4315
112	549	4311
113	553	4300
114	556	4286
115	560	4268
116	562	4246
117	569	4257
118	572	4240
119	576	4230
120	580	4216
121	586	4217
122	588	4198
123	592	4183
124	595	4165
125	598	4154
126	601	4133
127	604	4117
128	607	4104
129	611	4091
130	614	4076
131	617	4060
132	620	4045
133	623	4027
134	626	4013
135	629	4000
136	632	3984
137	635	3970
138	638	3956
139	642	3945
140	645	3932
141	647	3913
142	652	3909
143	655	3898
144	662	3909
145	666	3896
146	669	3885
147	675	3889
148	678	3876
149	682	3868
150	686	3857
151	691	3855
152	695	3847
153	698	3834
154	701	3823
155	706	3823
156	710	3813
157	712	3799
158	715	3785
159	719	3776
160	722	3764
161	725	3753
162	729	3745
163	732	3732
164	736	3726
165	739	3715
166	742	3702
167	745	3689
168	750	3689
169	753	3679
170	756	3665
171	759	3654
172	762	3644
173	767	3641
174	770	3632
175	773	3621
176	776	3612
177	780	3604
178	783	3595
179	786	3584
180	790	3574
181	793	3565
182	797	3560
183	801	3555
184	805	3548
185	808	3538
186	812	3533
187	816	3525
188	819	3517
189	822	3507
190	829	3513
191	832	3504
192	835	3494
193	838	3484
194	845	3489
195	848	3481
196	852	3476
197	857	3472
198	861	3465
199	864	3457
200	867	3448
201	874	3453
202	878	3447
203	880	3436
204	884	3429
205	888	3425
206	892	3419
207	895	3409
208	898	3402
209	903	3398
210	907	3393
211	912	3390
212	915	3383
213	919	3376
214	922	3368
215	926	3362
216	930	3358
217	934	3351
218	937	3343
219	940	3335
220	945	3332
221	948	3325
222	951	3316
223	955	3308
224	958	3299
225	962	3295
226	965	3287
227	968	3277
228	971	3271
229	977	3271
230	980	3263
231	984	3258
232	986	3248
233	991	3246
234	994	3238
235	998	3231
236	1001	3223
237	1004	3215
238	1007	3209
239	1011	3202
240	1014	3193
241	1017	3185
242	1020	3179
243	1024	3173
244	1027	3165
245	1030	3158
246	1033	3151
247	1037	3146
248	1040	3139
249	1045	3136
250	1058	3158
251	1061	3151
252	1077	3182
253	1090	3201
254	1108	3237
255	1111	3230
256	1118	3234
257	1122	3228
258	1125	3219
